rooms,sq_m,floor,floors_all,year,price,area1,area2,area3,area4,area5,area6,area7,area8
2,82.7,5.0,10.0,2016,80500000,0,0,1,0,0,0,0,0
4,140.0,4.0,14.0,2012,86000000,0,0,1,0,0,0,0,0
2,44.0,4.0,4.0,1971,30000000,0,0,0,0,1,0,0,0
2,43.0,3.0,5.0,1973,40000000,0,0,0,0,1,0,0,0
3,116.5,11.0,15.0,2009,90000000,0,0,1,0,0,0,0,0
4,165.0,3.0,13.0,2010,140000000,0,0,0,0,1,0,0,0
2,42.0,3.0,4.0,1961,26000000,0,0,1,0,0,0,0,0
2,56.1,2.0,4.0,1971,36000000,0,0,1,0,0,0,0,0
1,35.0,2.0,4.0,1972,20000000,0,1,0,0,0,0,0,0
3,65.0,1.0,5.0,1980,37000000,0,0,1,0,0,0,0,0
3,64.0,4.0,4.0,1978,37500000,0,0,0,0,0,0,0,1
3,90.0,6.0,18.0,2016,60630000,0,0,1,0,0,0,0,0
1,57.0,3.0,18.0,2012,33500000,1,0,0,0,0,0,0,0
4,75.0,4.0,5.0,1980,43000000,1,0,0,0,0,0,0,0
1,14.0,5.0,5.0,1973,10800000,1,0,0,0,0,0,0,0
3,81.2,15.0,16.0,2008,73600000,0,0,1,0,0,0,0,0
3,61.4,2.0,4.0,1975,39000000,0,0,1,0,0,0,0,0
2,53.0,1.0,3.0,1961,36000000,1,0,0,0,0,0,0,0
2,36.0,2.0,2.0,1961,20500000,0,0,0,0,0,0,0,1
3,66.0,5.0,5.0,1986,46000000,0,0,1,0,0,0,0,0
3,123.0,18.0,19.0,2012,78000000,1,0,0,0,0,0,0,0
4,75.0,1.0,4.0,1971,37500000,0,1,0,0,0,0,0,0
2,43.0,3.0,4.0,1967,32000000,0,0,1,0,0,0,0,0
3,62.3,12.0,13.0,1976,57000000,0,0,0,0,1,0,0,0
1,53.0,10.0,13.0,2021,31600000,1,0,0,0,0,0,0,0
2,75.0,6.0,19.0,2012,42500000,1,0,0,0,0,0,0,0
3,108.0,5.0,6.0,2016,110000000,0,0,1,0,0,0,0,0
1,32.0,2.0,4.0,1970,25500000,0,0,1,0,0,0,0,0
4,135.0,3.0,19.0,2021,120000000,0,0,1,0,0,0,0,0
1,40.3,3.0,9.0,1994,37000000,0,0,1,0,0,0,0,0
2,37.0,4.0,5.0,1986,17500000,0,0,0,0,0,1,0,0
5,213.0,4.0,7.0,2016,190000000,0,0,1,0,0,0,0,0
3,85.2,7.0,10.0,2012,61000000,0,0,1,0,0,0,0,0
1,22.0,1.0,2.0,1970,7500000,0,0,0,0,0,0,0,1
5,130.0,3.0,4.0,1979,185000000,0,0,0,0,1,0,0,0
3,172.0,3.0,5.0,2007,193000000,0,0,0,0,1,0,0,0
3,141.0,20.0,20.0,2007,54900000,0,0,1,0,0,0,0,0
3,76.0,6.0,9.0,2015,37000000,0,0,0,0,0,0,0,1
1,28.0,6.0,10.0,2020,19000000,0,0,0,0,0,1,0,0
3,76.0,4.0,5.0,2017,34000000,0,0,0,0,0,0,0,1
4,163.0,21.0,29.0,2009,165000000,0,0,1,0,0,0,0,0
3,59.5,7.0,9.0,2021,26500000,0,0,0,0,0,1,0,0
4,120.0,9.0,9.0,1988,65000000,0,0,0,0,1,0,0,0
1,32.2,1.0,4.0,1982,18300000,0,0,0,1,0,0,0,0
3,70.0,6.0,12.0,2018,39999990,0,0,0,0,0,0,0,0
1,34.6,4.0,5.0,1987,21500000,0,1,0,0,0,0,0,0
2,45.7,2.0,2.0,1959,19000000,0,1,0,0,0,0,0,0
2,53.3,8.0,9.0,1986,33000000,0,1,0,0,0,0,0,0
3,112.0,17.0,20.0,2017,111000000,0,0,0,0,1,0,0,0
4,127.1,11.0,15.0,2015,97000000,0,0,1,0,0,0,0,0
3,68.0,3.0,5.0,1968,64900000,1,0,0,0,0,0,0,0
3,116.7,10.0,16.0,2015,72000000,1,0,0,0,0,0,0,0
3,59.0,1.0,4.0,1968,38000000,0,1,0,0,0,0,0,0
3,96.0,6.0,6.0,2009,37000000,0,0,0,1,0,0,0,0
2,69.0,3.0,16.0,2021,72000000,0,0,1,0,0,0,0,0
2,55.0,5.0,5.0,1968,53000000,1,0,0,0,0,0,0,0
3,104.0,12.0,13.0,2017,76999000,0,0,1,0,0,0,0,0
3,65.0,3.0,4.0,1969,38500000,0,0,1,0,0,0,0,0
3,64.0,5.0,5.0,1983,34000000,0,0,0,1,0,0,0,0
1,45.0,3.0,5.0,1991,25500000,0,0,0,1,0,0,0,0
2,45.0,3.0,20.0,2011,35000000,1,0,0,0,0,0,0,0
1,37.1,3.0,3.0,1981,24000000,0,0,0,0,0,0,0,1
2,60.0,4.0,9.0,1994,36500000,0,0,1,0,0,0,0,0
1,22.0,4.0,4.0,1974,20000000,0,0,1,0,0,0,0,0
2,55.0,2.0,2.0,1963,31000000,0,0,1,0,0,0,0,0
3,72.0,9.0,9.0,1993,49000000,0,0,1,0,0,0,0,0
1,40.0,1.0,9.0,1983,27000000,1,0,0,0,0,0,0,0
2,80.0,18.0,18.0,2015,61000000,0,1,0,0,0,0,0,0
1,64.0,14.0,16.0,2014,25500000,0,0,0,0,0,1,0,0
3,140.0,12.0,13.0,2016,65000000,1,0,0,0,0,0,0,0
4,170.0,8.0,12.0,2012,120000000,0,0,0,0,0,0,1,0
3,73.0,8.0,9.0,1990,43500000,0,1,0,0,0,0,0,0
2,59.0,8.0,8.0,2017,31000000,0,0,0,0,0,0,0,0
2,48.0,6.0,10.0,2019,26800000,0,0,0,0,0,1,0,0
2,59.0,2.0,12.0,2018,56000000,0,0,1,0,0,0,0,0
3,137.0,7.0,7.0,2009,147000000,0,0,0,0,1,0,0,0
3,58.7,3.0,5.0,1980,45000000,0,0,1,0,0,0,0,0
1,35.0,4.0,5.0,1982,22500000,0,0,1,0,0,0,0,0
3,160.0,1.0,6.0,2004,170000000,0,0,1,0,0,0,0,0
3,64.0,1.0,5.0,1985,37500000,0,0,0,1,0,0,0,0
6,250.0,2.0,3.0,2021,350000000,0,0,0,0,1,0,0,0
2,44.0,1.0,4.0,1965,27000000,0,1,0,0,0,0,0,0
3,154.5,10.0,12.0,2010,85000000,1,0,0,0,0,0,0,0
1,39.0,1.0,5.0,2018,23000000,0,0,0,0,0,0,0,0
3,100.0,7.0,12.0,2018,98000000,0,0,1,0,0,0,0,0
3,77.0,4.0,5.0,1983,65000000,0,0,1,0,0,0,0,0
2,55.0,1.0,5.0,1984,36000000,0,1,0,0,0,0,0,0
3,70.0,4.0,5.0,1974,49000000,1,0,0,0,0,0,0,0
1,33.8,18.0,18.0,2015,25500000,0,0,1,0,0,0,0,0
3,55.7,1.0,5.0,1976,34500000,0,0,1,0,0,0,0,0
2,40.5,2.0,3.0,1961,26700000,0,0,1,0,0,0,0,0
3,71.1,2.0,9.0,1988,66000000,1,0,0,0,0,0,0,0
1,47.0,1.0,9.0,2005,31500000,0,1,0,0,0,0,0,0
1,43.0,8.0,9.0,2020,23000000,0,0,0,0,0,1,0,0
3,59.9,3.0,3.0,2002,36000000,0,0,0,0,0,0,1,0
3,65.2,5.0,5.0,1993,37000000,0,1,0,0,0,0,0,0
2,82.9,1.0,3.0,2020,48500000,0,0,0,0,0,1,0,0
2,45.8,3.0,4.0,1969,27500000,0,1,0,0,0,0,0,0
2,82.0,8.0,13.0,2018,152000000,0,0,1,0,0,0,0,0
4,74.8,5.0,5.0,1983,45000000,1,0,0,0,0,0,0,0
3,75.5,1.0,5.0,1987,42000000,0,1,0,0,0,0,0,0
2,51.4,3.0,5.0,1989,30000000,0,0,0,0,0,0,0,1
3,71.0,9.0,9.0,1989,49000000,0,1,0,0,0,0,0,0
4,129.0,4.0,9.0,1985,131000000,0,0,0,0,1,0,0,0
