,rmse_train,rmse_val,rmse_test,r2_train,r2_val,r2_test
xboost,11503712.252539173,23869334.33839454,17903004.014762647,0.8974376337269959,0.6871063299917237,0.7122111349110427
lasso,18004077.938818626,30589489.406979483,17082558.993773893,0.7487802490031454,0.48612129895450806,0.7379838705715454
ridge,17998953.144409485,30587597.74108255,16998663.213197336,0.7489232462003206,0.48618485390594135,0.7405511754638867
